id;issue_id;issue_uuid;username;issue_assignment_title
1;58558;e8e858ff-7367-4dd0-a210-3b0298726a66;turquoise Cotton interfaces;COM Engineer Account
2;18814;d6e70b02-ebfe-471f-9010-a74c4f900feb;Quality Developer hack;Incredible quantify
3;84077;d7971546-450d-406f-8b11-36fc7518c055;Manat Kwacha;Spurs deposit
4;73707;a2284293-85af-47ed-a505-73b8b6981349;deposit;haptic SQL Loan
5;55972;9ffdeec3-2e56-4f5a-9771-fcc3cd10ecad;drive;turn-key applications Home
6;99621;abe5824f-b472-402f-b958-211796bdaa1a;Bahamian Small Kuwait;killer
7;32547;60bf24e5-d94a-4a98-8be2-1c33b756183c;deposit Toys Developer;Indiana
8;79694;a307aaae-f531-472e-ba3f-298031f2e0b5;Applications generation;experiences
9;26350;e47348bb-63b4-4359-b5e4-315164d2a57a;Zimbabwe;Buckinghamshire Light
10;99240;31734ffe-f947-412f-a5a7-8637577b5918;Strategist Fresh Minnesota;Product
