id;username;issue_title;issue_content;issue_type;issue_status;issue_priority;uuid;created;modified;deleted
1;partnerships implement Lempira;drive New Assistant;connect Liaison viral;FEATURE;WONT_IMPLEMENT;HIGH;26c4bee7-f308-4787-8af9-2587d88f2f6c;2023-01-24T08:34:01;2023-01-24T21:10:32;2023-01-24T23:43:33
2;Granite;driver brand;AGPXXXXXXX;FEATURE;CANCELLED;LOWERST;37e53cac-82fe-43a6-880a-695f2ff734e9;2023-01-24T13:46:46;2023-01-24T23:13:52;2023-01-24T05:20:58
3;Buckinghamshire Metal web-enabled;Avon technologies Security;National Pula;BUG;CLOSED;LOW;ce973228-c42e-4189-96e3-6ec4a8e7e058;2023-01-24T02:52:36;2023-01-24T12:21:54;2023-01-24T17:06:38
4;envisioneer Assurance;Legacy;intranetXX;BUG;OPEN;LOW;e0865db0-963a-41a4-861f-d04cd75b9eda;2023-01-24T04:05:05;2023-01-24T11:51:32;2023-01-24T14:24:29
5;user-centric Representative static;Developer;Burundi panel cyan;BUG;CLOSED;LOWERST;8330f557-7171-4a15-99a0-97147a2d2fdd;2023-01-24T10:50:00;2023-01-24T10:33:43;2023-01-24T02:32:29
6;bluetooth Designer regional;digital;Agent WebX;FEATURE;VERIFIED;HIGHER;ad410bc1-e692-4d19-bc1a-d52b34546260;2023-01-24T00:45:25;2023-01-24T03:02:41;2023-01-24T14:07:32
7;Glen;Coves embrace withdrawal;MetalXXXXX;BUG;VERIFIED;HIGHER;25c5049c-5c18-46a6-88fb-33a17a875c38;2023-01-24T21:14:45;2023-01-24T14:23:32;2023-01-24T13:24:58
8;Lempira Handcrafted synergize;transparent;clear-thinking application;FEATURE;REOPENED;HIGHEST;71266064-f5e3-4e3d-9e08-481995ad3294;2023-01-24T15:29:32;2023-01-24T10:51:25;2023-01-24T16:04:30
9;payment functionalities;District Marketing Dynamic;scalable Cloned Account;FEATURE;CLOSED;HIGH;a4b9b426-dae3-4f48-b768-c572d39d3b66;2023-01-24T19:43:06;2023-01-24T03:20:42;2023-01-24T06:36:34
10;executive;RAM Rufiyaa orchestration;Ball Accounts;BUG;CANCELLED;LOWER;fd5b86b2-a006-451b-9a2b-9256617585d3;2023-01-24T07:39:25;2023-01-24T04:14:13;2023-01-24T08:41:42
